HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.audio_link,Answer.Acc,Answer.Nat,Answer.surveycode,Approve,Reject
3PZDSVZ3J5L1VX59J6K0M4IW8VHN4U,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3PZDLQMM0UPBNZRPG4XZ1YM7QQS2CH,A2Y3QNLB6ZRAMJ,Approved,Sun Mar 18 15:57:27 PDT 2018,Sun Mar 18 15:58:04 PDT 2018,Mon Mar 19 15:58:04 PDT 2018,Sun Mar 18 23:36:33 PDT 2018,,,37,100% (39/39),100% (39/39),100% (39/39),https://clyp.it/x2g5lvjs,4,4,単に与えられた、新しい知識の断片として聞き流すわけにいかなかった。,x,
3PZDSVZ3J5L1VX59J6K0M4IW8VHN4U,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3SKEMFQBZ494SC52OYNYZ8CIHZV8K5,A2VNK2H6USLQTK,Approved,Sun Mar 18 17:53:45 PDT 2018,Sun Mar 18 17:54:03 PDT 2018,Mon Mar 19 17:54:03 PDT 2018,Sun Mar 18 23:36:30 PDT 2018,,,18,100% (28/28),100% (28/28),100% (28/28),https://clyp.it/x2g5lvjs,4,4,単に与えられた新しい知識の断片として聞き流すわけにはいかなかった,x,
3PZDSVZ3J5L1VX59J6K0M4IW8VHN4U,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3WYP994K18VC83BVZYRRO2V29JL6YJ,AP5ICU25HJDTL,Approved,Sun Mar 18 21:47:30 PDT 2018,Sun Mar 18 21:47:56 PDT 2018,Mon Mar 19 21:47:56 PDT 2018,Sun Mar 18 23:36:37 PDT 2018,,,26,100% (9/9),100% (9/9),100% (9/9),https://clyp.it/x2g5lvjs,1,1,単に与えられた新しい知識の断片として聞き流すわけにはいかなかった。,x,
391JB9X4ZYCGRH9CSXSGG6IS0RXKMH,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3AAPLD8UCDLWO6WILBVWDCSD3VBTHA,A2VNK2H6USLQTK,Approved,Sun Mar 18 17:52:07 PDT 2018,Sun Mar 18 17:52:34 PDT 2018,Mon Mar 19 17:52:34 PDT 2018,Sun Mar 18 23:36:30 PDT 2018,,,27,100% (28/28),100% (28/28),100% (28/28),https://clyp.it/2fe1maqt,3,2,単に与えられた新しい知識の断片として聞き流すわけにはいかなかった,x,
391JB9X4ZYCGRH9CSXSGG6IS0RXKMH,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3CFVK00FWMPS844WGJ21UUT604C6LM,A29N79UDI6W2US,Approved,Sun Mar 18 19:22:24 PDT 2018,Sun Mar 18 19:23:52 PDT 2018,Mon Mar 19 19:23:52 PDT 2018,Sun Mar 18 23:36:29 PDT 2018,,,88,100% (8/8),100% (8/8),100% (8/8),https://clyp.it/2fe1maqt,4,4,単に与えられた新しい知識の断片として、聞き流すわけにいかなかった。,x,
391JB9X4ZYCGRH9CSXSGG6IS0RXKMH,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3FE7TXL1LJRFH018LMYUL3BOU5T2QM,A2Y3QNLB6ZRAMJ,Approved,Sun Mar 18 16:03:10 PDT 2018,Sun Mar 18 16:03:38 PDT 2018,Mon Mar 19 16:03:38 PDT 2018,Sun Mar 18 23:36:33 PDT 2018,,,28,100% (39/39),100% (39/39),100% (39/39),https://clyp.it/2fe1maqt,2,3,単に与えられた、新しい知識の断片として聞き流すわけにいかなかった。,x,
391JB9X4ZYCGRH9CSXSGG6IS0RXKMH,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3PM8NZGV8ZKGIG459BJNBT5K7EXXQV,A3OON9KQ2OSNTD,Approved,Sun Mar 18 19:01:53 PDT 2018,Sun Mar 18 19:02:53 PDT 2018,Mon Mar 19 19:02:53 PDT 2018,Sun Mar 18 23:37:25 PDT 2018,,,60,100% (7/7),100% (7/7),100% (7/7),https://clyp.it/2fe1maqt,5,5,Jiko ga chōdo ima okotta tokoroda,,The test audio was transcribed instead of the reference audio.  The distinction between the two was made clearly in the directions.  I'm sorry for having to reject this work.  Feel free to try again.
36FFXPMST9SDPUTGZS4WVIR53A8HOP,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,320DUZ38G8QOA752PBZAQ6T3QTAJGZ,A29N79UDI6W2US,Approved,Sun Mar 18 19:26:37 PDT 2018,Sun Mar 18 19:27:23 PDT 2018,Mon Mar 19 19:27:23 PDT 2018,Sun Mar 18 23:36:29 PDT 2018,,,46,100% (8/8),100% (8/8),100% (8/8),https://clyp.it/0hbw2son,5,4,単に与えられた新しい知識の断片として、聞き流すわけにいかなかった。,x,
36FFXPMST9SDPUTGZS4WVIR53A8HOP,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,39N5ACM9HFR5H8LS6IYKVLTSVFIP9B,A2VNK2H6USLQTK,Approved,Sun Mar 18 17:28:50 PDT 2018,Sun Mar 18 17:31:09 PDT 2018,Mon Mar 19 17:31:09 PDT 2018,Sun Mar 18 23:36:30 PDT 2018,,,139,100% (28/28),100% (28/28),100% (28/28),https://clyp.it/0hbw2son,4,3,単に与えられた新しい知識の断片として聞き流すわけにはいかなかった,x,
36FFXPMST9SDPUTGZS4WVIR53A8HOP,370Y8Q6HBAC1FI9KLT8GBERI86J11E,Listen to Japanese audio and rate quality,"Listen to computer-generated, Japanese speech and rate the quality. You MUST know Japanese to participate.","audio, listen, speech, computer, Japanese",$0.10,Sat Mar 17 23:43:30 PDT 2018,40,BatchId:3157888;OriginalHitTemplateId:920937332;,600,86400,Sat Mar 24 23:43:30 PDT 2018,,,3EKVH9QMEZ8LSRX3G0SAL44PBQ42DH,A2Y3QNLB6ZRAMJ,Approved,Sun Mar 18 15:58:45 PDT 2018,Sun Mar 18 15:59:13 PDT 2018,Mon Mar 19 15:59:13 PDT 2018,Sun Mar 18 23:36:33 PDT 2018,,,28,100% (39/39),100% (39/39),100% (39/39),https://clyp.it/0hbw2son,4,5,単に与えられた、新しい知識の断片として聞き流すわけにいかなかった。,x,
